tconst,nconst
tt0038669,nm0001257
tt0038669,nm0639529
tt0038680,nm0604656
tt0038680,nm0322299
tt0038687,nm0404158
tt0038700,nm0000053
tt0038700,nm0000731
tt0038704,nm0001682
tt0038704,nm0832011
tt0038704,nm0335748
tt0038711,nm0797531
tt0038715,nm0001677
tt0038715,nm0000057
tt0038715,nm0580565
tt0038715,nm0939931
tt0038727,nm0002022
tt0038728,nm0000017
tt0038731,nm0002233
tt0038733,nm0000057
tt0038733,nm0001375
tt0038735,nm0001981
tt0038739,nm0000891
tt0038739,nm0001777
tt0038739,nm0533956
tt0038745,nm0001120
tt0038752,nm0796662
tt0038758,nm0446715
tt0038762,nm0000020
tt0038765,nm0001766
tt0038765,nm0914778
tt0038766,nm0228715
tt0038773,nm0662223
tt0038773,nm0914778
tt0038774,nm0307326
tt0038776,nm0000026
tt0038776,nm0941253
tt0038778,nm0643353
tt0038778,nm0327089
tt0038778,nm0814216
tt0038780,nm0002092
tt0038780,nm0280242
tt0038780,nm0000974
tt0038787,nm0000026
tt0038787,nm0000006
tt0038787,nm0001647
tt0038787,nm0129894
tt0038794,nm0280242
tt0038795,nm0662223
tt0038795,nm0350324
tt0038803,nm0606431
tt0038815,nm0002046
tt0038826,nm0848667
tt0038826,nm0218131
tt0038832,nm0949835
tt0038832,nm0000057
tt0038832,nm0000734
tt0038839,nm0606431
tt0038846,nm0771584
tt0038854,nm0001805
tt0038854,nm0002092
tt0038854,nm0445523
tt0038854,nm0002025
tt0038873,nm0000074
tt0038873,nm0000879
tt0038875,nm0307326
tt0038876,nm0000734
tt0038878,nm0662972
tt0038890,nm0536167
tt0038891,nm0181305
tt0038894,nm0002024
tt0038908,nm0001695
tt0038908,nm0848667
tt0038911,nm0724732
tt0038914,nm0536167
tt0038914,nm0001120
tt0038915,nm0796662
tt0038916,nm0001055
tt0038916,nm0682074
tt0038916,nm0000859
tt0038917,nm0228715
tt0038922,nm0000904
tt0038924,nm0000051
tt0038933,nm0642988
tt0038933,nm0041681
tt0038938,nm0537685
tt0038948,nm0751426
tt0038948,nm0461594
tt0038948,nm0415591
tt0038955,nm0000879
tt0038955,nm0412322
tt0038959,nm0000747
tt0038966,nm0002075
tt0038967,nm0332058
tt0038973,nm0000752
tt0038973,nm0155011
tt0038974,nm0814216
tt0038975,nm0570192
tt0038975,nm0000856
tt0038984,nm0000012
tt0038984,nm0000974
tt0038986,nm0307326
tt0038988,nm0001766
tt0038988,nm0001336
tt0038988,nm0000018
tt0038990,nm0001695
tt0038990,nm0516876
tt0038991,nm0000080
tt0038991,nm0949835
tt0039000,nm0335748
tt0039015,nm0643353
tt0039015,nm0510134
tt0039017,nm0001651
tt0039020,nm0007223
tt0039022,nm0000747
tt0039024,nm0424318
tt0039026,nm0002141
tt0039029,nm0002113
tt0039029,nm0280242
tt0039029,nm0521156
tt0039031,nm0000859
tt0039031,nm0832011
tt0039031,nm0593775
tt0039035,nm0001336
tt0039036,nm0570192
tt0039036,nm0000053
tt0039040,nm0000014
tt0039041,nm0001055
tt0039041,nm0000080
tt0039041,nm0914778
tt0039050,nm0335748
tt0039056,nm0002046
tt0039056,nm0000904
tt0039056,nm0280178
tt0039066,nm0000031
tt0039066,nm0000053
tt0039066,nm0350324
tt0039072,nm0536167
tt0039073,nm0815433
tt0039080,nm0002113
tt0039080,nm0521156
tt0039082,nm0002046
tt0039098,nm0000014
tt0039098,nm0001537
tt0039098,nm0322299
tt0039101,nm0001257
tt0039101,nm0572142
tt0039103,nm0000904
tt0039110,nm0001055
tt0039110,nm0000078
tt0039111,nm0000060
tt0039111,nm0943837
tt0039111,nm0932629
tt0039112,nm0714878
tt0039112,nm0733460
tt0039116,nm0001635
tt0039116,nm0000023
tt0039116,nm0000001
tt0039127,nm0228715
tt0039152,nm0000078
tt0039152,nm0002503
tt0039160,nm0001777
tt0039163,nm0536167
tt0039168,nm0872456
tt0039168,nm0579663
tt0039169,nm0000026
tt0039178,nm0002046
tt0039190,nm0000026
tt0039190,nm0949835
tt0039190,nm0000057
tt0039190,nm0941253
tt0039191,nm0000063
tt0039192,nm0000039
tt0039192,nm0733460
tt0039196,nm0000879
tt0039196,nm0000904
tt0039197,nm0606431
tt0039204,nm0002092
tt0039204,nm0720843
tt0039206,nm0950019
tt0039208,nm0002011
tt0039208,nm0930209
tt0039211,nm0872456
tt0039220,nm0045968
tt0039224,nm0000044
tt0039224,nm0002025
tt0039224,nm0001948
tt0039235,nm0000904
tt0039243,nm0002011
tt0039245,nm0002141
tt0039250,nm0000075
tt0039250,nm0001805
tt0039260,nm0943837
tt0039266,nm0000951
tt0039279,nm0000951
tt0039280,nm0181305
tt0039283,nm0062828
tt0039286,nm0000053
tt0039286,nm0002108
tt0039288,nm0001766
tt0039291,nm0001120
tt0039293,nm0000802
tt0039294,nm0001076
tt0039294,nm0000020
tt0039301,nm0000859
tt0039302,nm0000007
tt0039302,nm0000002
tt0039302,nm0001547
tt0039305,nm0000007
tt0039308,nm0047810
tt0039311,nm0000044
tt0039312,nm0002093
tt0039312,nm0000053
tt0039318,nm0601930
tt0039325,nm0579663
tt0039335,nm0172903
tt0039335,nm0639529
tt0039335,nm0001859
tt0039337,nm0662972
tt0039341,nm0000974
tt0039341,nm0415591
tt0039344,nm0797531
tt0039346,nm0280178
tt0039348,nm0181305
tt0039349,nm0001055
tt0039349,nm0537685
tt0039357,nm0662223
tt0039357,nm0949574
tt0039370,nm0949835
tt0039370,nm0000856
tt0039370,nm0001948
tt0039377,nm0848667
tt0039386,nm0002024
tt0039389,nm0041681
tt0039391,nm0664273
tt0039391,nm0001695
tt0039394,nm0001322
tt0039394,nm0572142
tt0039398,nm0424318
tt0039398,nm0733460
tt0039402,nm0000020
tt0039402,nm0619798
tt0039409,nm0871287
tt0039410,nm0521156
tt0039410,nm0848667
tt0039416,nm0000060
tt0039416,nm0570192
tt0039416,nm0002092
tt0039416,nm0002141
tt0039420,nm0000074
tt0039420,nm0001322
tt0039420,nm0001695
tt0039421,nm0605923
tt0039428,nm0001537
tt0039428,nm0000017
tt0039437,nm0001336
tt0039437,nm0001805
tt0039437,nm0001656
tt0039438,nm0751426
tt0039438,nm0002048
tt0039438,nm0086198
tt0039439,nm0335748
tt0039451,nm0260020
tt0039452,nm0932629
tt0039453,nm0002046
tt0039456,nm0867144
tt0039461,nm0593775
tt0039462,nm0094135
tt0039463,nm0870543
tt0039465,nm0000734
tt0039471,nm0664273
tt0039472,nm0867144
tt0039477,nm0000022
tt0039477,nm0000039
tt0039477,nm0002113
tt0039477,nm0579663
tt0039482,nm0000044
tt0039482,nm0000018
tt0039484,nm0000904
tt0039484,nm0579663
tt0039485,nm0002104
tt0039485,nm0944087
tt0039486,nm0682074
tt0039486,nm0000039
tt0039486,nm0001450
tt0039487,nm0001537
tt0039487,nm0942863
tt0039492,nm0001739
tt0039492,nm0668093
tt0039496,nm0876451
tt0039500,nm0001677
tt0039500,nm0664273
tt0039500,nm0001981
tt0039501,nm0000069
tt0039502,nm0362267
tt0039503,nm0580916
tt0039504,nm0000021
tt0039515,nm0002011
tt0039526,nm0002034
tt0039530,nm0260020
tt0039531,nm0001682
tt0039531,nm0002046
tt0039531,nm0001955
tt0039531,nm0007223
tt0039532,nm0178114
tt0039536,nm0002046
tt0039536,nm0001847
tt0039545,nm0599910
tt0039545,nm0876451
tt0039550,nm0001859
tt0039556,nm0172903
tt0039566,nm0001635
tt0039566,nm0002050
tt0039566,nm0350324
tt0039574,nm0000037
tt0039581,nm0000020
tt0039581,nm0000895
tt0039582,nm0867144
tt0039583,nm0001333
tt0039583,nm0001547
tt0039583,nm0521156
tt0039586,nm0796662
tt0039589,nm0001695
tt0039589,nm0002013
tt0039591,nm0000060
tt0039591,nm0696481
tt0039595,nm0000071
tt0039595,nm0943837
tt0039601,nm0714878
tt0039616,nm0391361
tt0039619,nm0002108
tt0039622,nm0572142
tt0039625,nm0062828
tt0039626,nm0313438
tt0039627,nm0580565
tt0039628,nm0350324
tt0039628,nm0516876
tt0039629,nm0181305
tt0039634,nm0197314
tt0039636,nm0751426
tt0039636,nm0714878
tt0039636,nm0557339
tt0039636,nm0668093
tt0039659,nm0643353
tt0039659,nm0000856
tt0039660,nm0002024
tt0039661,nm0000951
tt0039667,nm0771584
tt0039667,nm0006471
tt0039677,nm0000051
tt0039682,nm0536167
tt0039686,nm0001766
tt0039686,nm0000057
tt0039689,nm0000053
tt0039689,nm0000018
tt0039694,nm0000060
tt0039694,nm0001452
tt0039694,nm0002013
tt0039696,nm0181305
tt0039698,nm0218131
tt0039725,nm0001076
tt0039725,nm0001336
tt0039725,nm0557339
tt0039731,nm0002233
tt0039735,nm0001695
tt0039735,nm0001450
tt0039737,nm0942863
tt0039737,nm0000053
tt0039737,nm0000752
tt0039737,nm0415591
tt0039741,nm0536167
tt0039750,nm0187981
tt0039757,nm0000752
tt0039758,nm0002034
tt0039768,nm0599910
tt0039768,nm0327089
tt0039776,nm0001078
tt0039776,nm0814216
tt0039783,nm0593775
tt0039783,nm0001463
tt0039806,nm0000031
tt0039806,nm0000075
tt0039806,nm0002048
tt0039808,nm0047810
tt0039811,nm0001635
tt0039819,nm0720843
tt0039821,nm0393028
tt0039823,nm0002001
tt0039826,nm0000063
tt0039829,nm0001257
tt0039836,nm0002024
tt0039840,nm0001333
tt0039840,nm0000734
tt0039842,nm0779549
tt0039842,nm0002145
tt0039847,nm0197982
tt0039850,nm0000031
tt0039852,nm0002046
tt0039852,nm0000781
tt0039853,nm0001635
tt0039853,nm0001777
tt0039857,nm0001120
tt0039864,nm0664273
tt0039869,nm0178114
tt0039873,nm0002104
tt0039878,nm0001955
tt0039878,nm0307326
tt0039893,nm0002113
tt0039895,nm0002145
tt0039896,nm0001333
tt0039901,nm0405054
tt0039902,nm0350324
tt0039903,nm0000734
tt0039917,nm0001537
tt0039917,nm0942863
tt0039917,nm0002046
tt0039926,nm0000007
tt0039926,nm0001766
tt0039927,nm0000078
tt0039927,nm0000752
tt0039931,nm0000011
tt0039931,nm0002104
tt0039935,nm0815433
tt0039937,nm0000817
tt0039937,nm0000781
tt0039941,nm0001647
tt0039946,nm0181305
tt0039947,nm0000051
tt0039969,nm0662223
tt0039969,nm0000781
tt0039973,nm0639529
tt0039973,nm0000904
tt0039975,nm0001078
tt0039975,nm0280178
tt0039982,nm0000904
tt0039986,nm0510134
tt0039994,nm0696481
tt0039998,nm0537685
tt0039999,nm0001739
tt0040000,nm0001948
tt0040002,nm0000964
tt0040002,nm0001955
tt0040002,nm0001788
tt0040064,nm0000078
tt0040071,nm0949835
tt0040071,nm0415488
tt0040072,nm0545298
tt0040072,nm0639529
tt0040080,nm0797531
tt0040085,nm0000891
tt0040085,nm0313438
tt0040087,nm0000044
tt0040089,nm0445523
tt0040090,nm0000733
tt0040092,nm0536167
tt0040094,nm0327089
tt0040095,nm0000731
tt0040098,nm0000046
tt0040098,nm0724732
tt0040102,nm0545298
tt0040102,nm0639529
tt0040102,nm0001955
tt0040103,nm0391361
tt0040104,nm0002022
tt0040104,nm0350324
tt0040104,nm0516876
tt0040107,nm0815433
tt0040109,nm0000006
tt0040109,nm0000964
tt0040109,nm0001452
tt0040109,nm0129894
tt0040112,nm0307326
tt0040141,nm0001766
tt0040141,nm0001336
tt0040141,nm0002013
tt0040142,nm0000904
tt0040142,nm0872456
tt0040142,nm0001948
tt0040155,nm0643353
tt0040155,nm0510134
tt0040158,nm0001656
tt0040159,nm0696481
tt0040160,nm0001537
tt0040160,nm0001452
tt0040175,nm0000053
tt0040175,nm0000895
tt0040175,nm0696481
tt0040175,nm0000974
tt0040183,nm0000057
tt0040183,nm0500364
tt0040185,nm0001777
tt0040187,nm0002025
tt0040202,nm0000071
tt0040202,nm0002011
tt0040221,nm0000051
tt0040221,nm0000895
tt0040229,nm0197314
tt0040229,nm0002141
tt0040242,nm0000022
tt0040242,nm0682074
tt0040242,nm0002046
tt0040257,nm0001859
tt0040270,nm0001225
tt0040270,nm0002011
tt0040271,nm0000891
tt0040280,nm0445523
tt0040281,nm0001777
tt0040305,nm0000734
tt0040305,nm0322299
tt0040308,nm0000023
tt0040308,nm0000001
tt0040317,nm0001078
tt0040317,nm0000021
tt0040317,nm0914778
tt0040321,nm0000057
tt0040321,nm0942863
tt0040325,nm0001322
tt0040331,nm0000026
tt0040331,nm0867144
tt0040338,nm0724732
tt0040342,nm0001055
tt0040349,nm0537685
tt0040353,nm0639529
tt0040353,nm0821041
tt0040364,nm0639529
tt0040366,nm0002092
tt0040366,nm0327089
tt0040367,nm0000795
tt0040367,nm0000017
tt0040369,nm0000078
tt0040369,nm0000020
tt0040370,nm0001948
tt0040372,nm0178114
tt0040382,nm0662972
tt0040383,nm0771584
tt0040386,nm0062828
tt0040388,nm0001452
tt0040390,nm0197314
tt0040395,nm0000011
tt0040402,nm0002013
tt0040409,nm0405054
tt0040416,nm0000059
tt0040416,nm0001739
tt0040425,nm0432827
tt0040426,nm0002104
tt0040432,nm0173993
tt0040438,nm0350324
tt0040438,nm0187981
tt0040438,nm0001463
tt0040443,nm0733460
tt0040446,nm0000022
tt0040446,nm0001805
tt0040446,nm0000879
tt0040452,nm0002131
tt0040457,nm0867144
tt0040458,nm0002050
tt0040458,nm0000895
tt0040458,nm0393028
tt0040463,nm0404046
tt0040463,nm0516876
tt0040467,nm0797531
tt0040469,nm0771584
tt0040478,nm0000074
tt0040491,nm0000006
tt0040491,nm0001207
tt0040495,nm0943837
tt0040495,nm0000817
tt0040495,nm0001948
tt0040495,nm0001547
tt0040498,nm0002093
tt0040498,nm0682074
tt0040499,nm0000012
tt0040499,nm0599910
tt0040499,nm0047810
tt0040506,nm0000007
tt0040506,nm0000002
tt0040506,nm0000859
tt0040507,nm0641397
tt0040512,nm0000021
tt0040512,nm0000044
tt0040513,nm0000069
tt0040513,nm0619798
tt0040513,nm0622450
tt0040525,nm0000080
tt0040536,nm0000021
tt0040543,nm0932629
tt0040553,nm0000879
tt0040553,nm0445523
tt0040553,nm0002011
tt0040558,nm0000080
tt0040558,nm0641397
tt0040565,nm0580916
tt0040566,nm0002131
tt0040594,nm0000069
tt0040594,nm0002011
tt0040597,nm0424318
tt0040599,nm0280178
tt0040599,nm0941253
tt0040602,nm0536167
tt0040605,nm0181305
tt0040607,nm0000856
tt0040613,nm0000026
tt0040613,nm0002048
tt0040614,nm0001635
tt0040614,nm0001955
tt0040626,nm0000018
tt0040628,nm0848667
tt0040629,nm0002048
tt0040636,nm0280178
tt0040637,nm0001120
tt0040651,nm0391361
tt0040654,nm0642988
tt0040654,nm0932629
tt0040662,nm0000027
tt0040664,nm0002104
tt0040664,nm0580565
tt0040664,nm0000071
tt0040664,nm0000020
tt0040668,nm0540416
tt0040669,nm0001257
tt0040669,nm0000781
tt0040694,nm0000023
tt0040694,nm0000037
tt0040694,nm0178066
tt0040705,nm0428354
tt0040705,nm0000856
tt0040705,nm0001273
tt0040719,nm0000904
tt0040720,nm0949835
tt0040720,nm0000053
tt0040723,nm0872456
tt0040724,nm0000078
tt0040724,nm0001050
tt0040724,nm0000974
tt0040726,nm0848667
tt0040730,nm0601930
tt0040730,nm0322299
tt0040740,nm0664273
tt0040740,nm0002141
tt0040740,nm0001847
tt0040746,nm0000071
tt0040746,nm0197982
tt0040751,nm0002113
tt0040754,nm0280178
tt0040758,nm0733460
tt0040759,nm0599910
tt0040759,nm0001333
tt0040762,nm0000974
tt0040762,nm0720843
tt0040764,nm0001537
tt0040765,nm0001050
tt0040765,nm0533956
tt0040766,nm0714878
tt0040766,nm0720843
tt0040766,nm0641966
tt0040785,nm0676688
tt0040785,nm0461594
tt0040786,nm0002233
tt0040789,nm0593775
tt0040795,nm0916067
tt0040798,nm0001055
tt0040798,nm0000747
tt0040804,nm0000731
tt0040806,nm0000014
tt0040806,nm0312890
tt0040806,nm0002141
tt0040808,nm0391361
tt0040809,nm0001537
tt0040809,nm0280242
tt0040815,nm0041681
tt0040823,nm0001766
tt0040823,nm0000044
tt0040825,nm0002046
tt0040834,nm0000075
tt0040834,nm0000031
tt0040834,nm0001450
tt0040835,nm0001547
tt0040843,nm0001847
tt0040845,nm0335748
tt0040845,nm0260020
tt0040848,nm0001682
tt0040848,nm0404158
tt0040848,nm0604656
tt0040849,nm0832011
tt0040855,nm0662972
tt0040861,nm0001336
tt0040861,nm0001333
tt0040865,nm0001450
tt0040868,nm0007223
tt0040868,nm0155011
tt0040870,nm0000074
tt0040874,nm0424318
tt0040876,nm0001805
tt0040876,nm0000037
tt0040876,nm0001336
tt0040884,nm0000010
tt0040884,nm0000904
tt0040895,nm0002034
tt0040896,nm0606431
tt0040897,nm0000007
tt0040897,nm0404158
tt0040910,nm0540416
tt0040919,nm0001322
tt0040934,nm0751426
tt0040934,nm0312890
tt0040934,nm0872456
tt0040934,nm0002113
tt0040946,nm0000078
tt0040946,nm0949574
tt0040949,nm0664273
tt0040949,nm0000879
tt0040949,nm0000018
tt0040951,nm0307326
tt0040962,nm0197314
tt0040962,nm0642988
tt0040963,nm0000781
tt0040965,nm0696481
tt0040965,nm0187981
tt0040970,nm0232196
tt0040970,nm0500364
tt0040971,nm0000012
tt0040974,nm0662223
tt0040974,nm0002113
tt0040974,nm0949574
tt0040976,nm0001682
tt0040978,nm0000060
tt0040978,nm0000879
tt0040978,nm0001847
tt0040982,nm0000021
tt0040982,nm0000071
tt0040982,nm0000734
tt0040982,nm0950019
tt0040983,nm0002022
tt0040983,nm0197314
tt0041084,nm0001996
tt0041088,nm0001336
tt0041088,nm0001463
tt0041088,nm0000802
tt0041089,nm0001739
tt0041090,nm0000075
tt0041090,nm0000031
tt0041090,nm0391062
tt0041094,nm0001078
tt0041094,nm0001651
tt0041102,nm0041681
tt0041107,nm0001537
tt0041107,nm0593775
tt0041113,nm0002024
tt0041123,nm0474801
tt0041125,nm0002104
tt0041125,nm0393028
tt0041127,nm0000022
tt0041134,nm0424743
tt0041134,nm0500364
tt0041144,nm0322299
tt0041147,nm0002024
tt0041158,nm0000001
tt0041158,nm0001677
tt0041158,nm0000992
tt0041172,nm0000012
tt0041173,nm0041681
tt0041176,nm0000891
tt0041176,nm0537685
tt0041178,nm0000053
tt0041178,nm0000904
tt0041179,nm0001682
tt0041179,nm0593775
tt0041181,nm0000037
tt0041181,nm0619798
tt0041182,nm0000080
tt0041182,nm0848667
tt0041190,nm0001739
tt0041199,nm0606431
tt0041207,nm0001257
tt0041207,nm0001452
tt0041208,nm0001055
tt0041209,nm0002104
tt0041210,nm0000974
tt0041218,nm0415591
tt0041223,nm0619798
tt0041238,nm0350324
tt0041238,nm0187981
tt0041239,nm0000018
tt0041239,nm0447913
tt0041243,nm0001656
tt0041247,nm0545298
tt0041251,nm0728812
tt0041253,nm0540416
tt0041255,nm0599910
tt0041255,nm0001955
tt0041257,nm0949835
tt0041257,nm0002141
tt0041257,nm0006471
tt0041259,nm0001078
tt0041259,nm0000904
tt0041263,nm0000904
tt0041267,nm0062828
tt0041268,nm0000044
tt0041277,nm0001635
tt0041277,nm0579663
tt0041285,nm0424318
tt0041285,nm0045968
tt0041293,nm0062828
tt0041300,nm0002013
tt0041300,nm0001463
tt0041302,nm0001120
tt0041313,nm0001847
tt0041313,nm0000859
tt0041313,nm0001777
tt0041313,nm0445523
tt0041314,nm0341518
tt0041325,nm0307326
tt0041327,nm0001766
tt0041327,nm0000051
tt0041327,nm0001336
tt0041327,nm0001257
tt0041329,nm0000075
tt0041329,nm0000039
tt0041335,nm0921459
tt0041341,nm0002141
tt0041341,nm0002013
tt0041346,nm0002022
tt0041346,nm0001695
tt0041359,nm0002039
tt0041361,nm0000078
tt0041368,nm0001766
tt0041373,nm0001076
tt0041373,nm0002113
tt0041374,nm0540416
tt0041381,nm0865262
tt0041386,nm0000011
tt0041386,nm0623658
tt0041386,nm0557339
tt0041389,nm0001955
tt0041400,nm0002013
tt0041428,nm0404046
tt0041429,nm0950019
tt0041430,nm0000060
tt0041430,nm0001257
tt0041430,nm0002048
tt0041430,nm0404158
tt0041431,nm0000974
tt0041431,nm0000081
tt0041437,nm0001948
tt0041437,nm0335748
tt0041445,nm0623658
tt0041445,nm0865262
tt0041452,nm0000014
tt0041452,nm0001050
tt0041452,nm0724732
tt0041452,nm0394244
tt0041473,nm0000053
tt0041473,nm0001463
tt0041479,nm0000974
tt0041487,nm0001333
tt0041495,nm0327089
tt0041498,nm0000026
tt0041503,nm0002046
tt0041503,nm0002013
tt0041507,nm0000023
tt0041507,nm0001981
tt0041509,nm0006471
tt0041511,nm0865262
tt0041514,nm0001537
tt0041523,nm0867144
tt0041527,nm0001225
tt0041528,nm0000904
tt0041529,nm0001859
tt0041529,nm0000348
tt0041530,nm0662972
tt0041530,nm0218131
tt0041531,nm0461594
tt0041531,nm0815433
tt0041545,nm0848560
tt0041546,nm0000027
tt0041549,nm0000057
tt0041549,nm0876451
tt0041550,nm0000057
tt0041550,nm0943837
tt0041555,nm0000007
tt0041572,nm0001766
tt0041572,nm0696481
tt0041573,nm0943837
tt0041573,nm0000781
tt0041579,nm0262725
tt0041587,nm0002022
tt0041587,nm0815433
tt0041587,nm0000018
tt0041590,nm0000904
tt0041590,nm0322299
tt0041607,nm0002046
tt0041607,nm0872456
tt0041610,nm0949574
tt0041613,nm0537685
tt0041615,nm0428354
tt0041615,nm0000051
tt0041615,nm0001336
tt0041622,nm0000075
tt0041622,nm0000071
tt0041622,nm0181305
tt0041622,nm0002113
tt0041628,nm0001452
tt0041628,nm0867144
tt0041628,nm0580565
tt0041635,nm0797531
tt0041650,nm0601930
tt0041650,nm0424565
tt0041652,nm0322299
tt0041659,nm0949835
tt0041662,nm0916067
tt0041663,nm0094135
tt0041671,nm0579663
tt0041672,nm0001333
tt0041694,nm0001766
tt0041716,nm0000037
tt0041716,nm0000069
tt0041724,nm0848667
tt0041735,nm0002145
tt0041735,nm0001647
tt0041737,nm0391361
tt0041744,nm0391361
tt0041746,nm0002022
tt0041746,nm0000856
tt0041746,nm0914083
tt0041761,nm0000989
tt0041763,nm0002233
tt0041767,nm0000080
tt0041768,nm0062828
tt0041769,nm0001811
tt0041776,nm0262725
tt0041777,nm0751983
tt0041786,nm0000051
tt0041787,nm0001955
tt0041788,nm0682074
tt0041788,nm0000856
tt0041788,nm0001450
tt0041790,nm0516876
tt0041792,nm0000053
tt0041792,nm0129894
tt0041795,nm0218131
tt0041814,nm0181305
tt0041822,nm0000044
tt0041822,nm0001647
tt0041824,nm0001948
tt0041824,nm0557339
tt0041827,nm0002108
tt0041831,nm0000027
tt0041832,nm0405054
tt0041838,nm0001695
tt0041838,nm0001450
tt0041841,nm0000078
tt0041855,nm0001777
tt0041855,nm0178066
tt0041861,nm0474801
tt0041866,nm0000078
tt0041866,nm0424565
tt0041871,nm0664273
tt0041883,nm0001847
tt0041885,nm0000747
tt0041890,nm0412322
tt0041890,nm0094135
tt0041899,nm0001647
tt0041902,nm0218131
tt0041904,nm0001859
tt0041907,nm0540416
tt0041923,nm0280178
tt0041926,nm0779549
tt0041928,nm0000071
tt0041928,nm0604656
tt0041928,nm0001547
tt0041929,nm0000904
tt0041931,nm0000006
tt0041939,nm0664273
tt0041939,nm0797531
tt0041940,nm0001996
tt0041944,nm0000069
tt0041944,nm0000037
tt0041945,nm0001635
tt0041945,nm0001859
tt0041948,nm0000011
tt0041948,nm0000974
tt0041949,nm0751426
tt0041949,nm0949574
tt0041955,nm0002093
tt0041955,nm0682074
tt0041956,nm0000856
tt0041958,nm0181305
tt0041958,nm0002011
tt0041959,nm0000080
tt0041959,nm0002145
tt0041967,nm0000007
tt0041967,nm0461594
tt0041967,nm0370564
tt0041968,nm0447913
tt0041969,nm0001078
tt0041969,nm0001955
tt0041969,nm0280178
tt0041969,nm0002025
tt0041971,nm0002104
tt0041994,nm0001333
tt0041994,nm0696481
tt0041996,nm0000060
tt0042004,nm0000006
tt0042004,nm0500364
tt0042005,nm0002092
tt0042006,nm0001225
tt0042006,nm0926235
tt0042026,nm0041681
tt0042030,nm0536167
tt0042035,nm0428354
tt0042035,nm0002092
tt0042039,nm0000074
tt0042039,nm0001207
tt0042039,nm0001948
tt0042041,nm0000010
tt0042041,nm0639529
tt0042041,nm0943618
tt0042046,nm0447913
tt0042049,nm0867144
tt0042049,nm0001547
tt0042053,nm0002048
tt0042053,nm0002108
tt0042057,nm0002013
tt0042060,nm0197314
tt0042060,nm0000879
tt0042060,nm0720843
tt0042176,nm0639529
tt0042182,nm0639529
tt0042192,nm0000012
tt0042192,nm0000879
tt0042192,nm0001695
tt0042192,nm0002141
tt0042200,nm0129894
tt0042200,nm0619798
tt0042202,nm0950019
tt0042202,nm0943618
tt0042207,nm0474801
tt0042208,nm0129894
tt0042208,nm0353405
tt0042208,nm0926235
tt0042219,nm0639529
tt0042229,nm0094135
tt0042230,nm0557339
tt0042242,nm0639529
tt0042249,nm0001050
tt0042255,nm0001695
tt0042255,nm0001547
tt0042256,nm0000080
tt0042274,nm0872456
tt0042275,nm0000021
tt0042276,nm0391062
tt0042276,nm0002024
tt0042278,nm0000992
tt0042279,nm0001948
tt0042281,nm0002092
tt0042281,nm0623658
tt0042285,nm0000011
tt0042285,nm0000002
tt0042285,nm0623658
tt0042286,nm0000071
tt0042286,nm0001996
tt0042287,nm0006471
tt0042295,nm0001739
tt0042296,nm0662223
tt0042296,nm0001547
tt0042296,nm0179289
tt0042296,nm0256216
tt0042298,nm0002131
tt0042313,nm0000817
tt0042313,nm0942863
tt0042314,nm0002024
tt0042324,nm0000007
tt0042324,nm0662223
tt0042324,nm0557339
tt0042325,nm0172903
tt0042325,nm0002141
tt0042327,nm0916067
tt0042327,nm0002022
tt0042333,nm0001739
tt0042333,nm0002145
tt0042342,nm0000052
tt0042343,nm0002024
tt0042343,nm0540416
tt0042344,nm0001537
tt0042352,nm0000026
tt0042352,nm0001207
tt0042363,nm0232196
tt0042367,nm0001207
tt0042369,nm0639529
tt0042372,nm0000011
tt0042372,nm0557339
tt0042376,nm0001076
tt0042379,nm0000032
tt0042379,nm0415591
tt0042387,nm0001996
tt0042389,nm0001276
tt0042395,nm0129894
tt0042426,nm0327089
tt0042432,nm0000057
tt0042432,nm0500364
tt0042433,nm0662972
tt0042433,nm0580916
tt0042451,nm0000075
tt0042452,nm0002034
tt0042463,nm0001682
tt0042464,nm0000044
tt0042464,nm0533956
tt0042465,nm0865262
tt0042465,nm0424318
tt0042472,nm0916067
tt0042472,nm0350324
tt0042482,nm0001859
tt0042482,nm0006471
tt0042483,nm0405054
tt0042488,nm0000734
tt0042490,nm0001766
tt0042490,nm0404158
tt0042490,nm0000752
tt0042496,nm0601930
tt0042496,nm0000904
tt0042509,nm0943837
tt0042509,nm0000018
tt0042509,nm0447913
tt0042511,nm0007223
tt0042513,nm0428354
tt0042522,nm0424318
tt0042524,nm0601930
tt0042530,nm0197982
tt0042531,nm0000060
tt0042534,nm0797531
tt0042539,nm0001847
tt0042539,nm0001588
tt0042541,nm0751983
tt0042542,nm0001777
tt0042544,nm0001076
tt0042544,nm0914778
tt0042545,nm0370564
tt0042546,nm0000071
tt0042548,nm0001682
tt0042548,nm0601930
tt0042548,nm0218131
tt0042552,nm0932629
tt0042582,nm0949574
tt0042588,nm0000348
tt0042593,nm0000007
tt0042593,nm0002108
tt0042609,nm0002039
tt0042610,nm0000071
tt0042610,nm0322299
tt0042617,nm0322299
tt0042622,nm0000032
tt0042628,nm0405054
tt0042629,nm0000348
tt0042629,nm0002046
tt0042634,nm0000022
tt0042634,nm0949835
tt0042634,nm0604656
tt0042641,nm0000904
tt0042641,nm0580916
tt0042643,nm0540416
tt0042644,nm0001777
tt0042644,nm0510134
tt0042646,nm0000039
tt0042648,nm0000010
tt0042665,nm0000027
tt0042666,nm0642988
tt0042674,nm0000001
